p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TOR2A	0.000678904650756729	-0.259241735364492	0.215	0.488	1
DPCD	0.000681598435324458	-0.144238195051921	0.035	0.171	1
STX12	0.000683415891157724	-0.428943429443936	0.583	0.878	1
GSAP	0.000689772474179458	-0.46672087140567	0.447	0.707	1
PRKCB	0.000691805729733365	0.363094804560494	0.996	0.976	1
MILR1	0.000697012341017155	0.491154561318278	0.662	0.488	1
SLCO3A1	0.000708623900803632	-0.11521843674863	0.026	0.146	1
ZMYND8	0.000719572340696302	0.428136034072134	0.706	0.537	1
UBXN11	0.0007366897503634	-0.391812653498032	0.395	0.659	1
CPNE2	0.000741354808272358	-0.351471099364982	0.219	0.463	1
IFNLR1	0.000745189575443588	0.372587991410729	0.294	0.049	1
TIMP2	0.000749744976315649	-0.375708284657236	0.908	1	1
S100A12	0.000751391367818165	-0.110410385159222	0.018	0.122	1
DDX51	0.000754015990672435	0.366996399997307	0.408	0.146	1
HSPBP1	0.000756670751731352	-0.377146706240077	0.364	0.659	1
HCST	0.000757719323531825	0.456502026547353	0.794	0.659	1
TBXAS1	0.000761210468795147	-0.242569869374529	0.246	0.561	1
TCEA3	0.000765058087525961	-0.52175479702843	0.241	0.488	1
RCN3	0.000784324487920683	-0.452337425853699	0.575	0.829	1
KMT2C	0.000787595741653277	-0.358373543931121	0.939	0.976	1
METAP1D	0.000795711687229228	-0.124449280477491	0.004	0.073	1
SCGB3A1	0.000795711687229228	-0.0730187961364446	0.004	0.073	1
GIMAP6	0.000795711687229228	-0.124460632853048	0.004	0.073	1
BDKRB1	0.000795711687229228	-0.0689944437599588	0.004	0.073	1
CCDC183	0.00079777427652866	0.380304862984195	0.395	0.122	1
FNBP1L	0.000799467404795392	0.399744127568628	0.333	0.073	1
COL9A2	0.000800592114777992	-0.221335493221074	0.088	0.268	1
KRTCAP2	0.00080652389443965	0.350516702207581	0.719	0.585	1
SEC61A2	0.000824302430867854	0.371600492471619	0.434	0.171	1
TAF3	0.00082615071546302	-0.127068710814748	0.004	0.073	1
ZNF547	0.00082615071546302	-0.0693770788020174	0.004	0.073	1
GNA15	0.000829524873126408	0.489722260140871	0.921	0.854	1
CHST12	0.000830432274777358	0.515589915480836	0.544	0.317	1
MAP3K4	0.000839831334021469	-0.46267518200206	0.579	0.732	1
NAV1	0.000843076297525576	-0.428908529415805	0.355	0.634	1
PKD2	0.000844321806479231	0.21807361934279	0.412	0.146	1
SRPRA	0.000853071979000968	0.458110533322517	0.917	0.902	1
HK3	0.000857667006460093	-0.126762795658351	0.004	0.073	1
LDLRAD3	0.000857667006460093	-0.0816735067020911	0.004	0.073	1
HIC1	0.000857667006460093	-0.0924555134496149	0.004	0.073	1
FCAR	0.000857667006460093	-0.0810481095320899	0.004	0.073	1
RAB37	0.000858235835308053	-0.196040023437264	0.048	0.195	1
SNX15	0.00086024271964229	-0.330963013652317	0.303	0.561	1
SKAP2	0.000860891857325197	0.403721792331784	0.934	0.878	1
SULT1A1	0.000873504726186982	-0.214554010508185	0.048	0.195	1
TBC1D14	0.000880725567642394	0.35850106458181	0.846	0.829	1
CYP1B1	0.000890295155640431	-0.0645686698281199	0.004	0.073	1
CXCL8	0.000890295155640431	-0.0633629869294431	0.004	0.073	1
HPSE	0.000890295155640431	-0.0723454053124236	0.004	0.073	1
APBA2	0.000890295155640431	-0.0519820402822767	0.004	0.073	1
SLC35B1	0.000890756304117143	0.403774715425963	0.596	0.341	1
DENND1A	0.000896683633336079	-0.391392430124991	0.531	0.829	1
NIN	0.000904469864803659	0.393822243209101	0.996	0.976	1
ACBD5	0.000911535903879975	0.406708094559423	0.706	0.61	1
IRF2BP2	0.000929505340150417	0.32347905416725	0.996	1	1
TAX1BP3	0.000930766239748062	0.523802930849016	0.614	0.463	1
SRR	0.000937133516928801	-0.19985039036337	0.048	0.195	1
DIP2A	0.000956797482209749	0.391080286064349	0.768	0.634	1
LAPTM5	0.00095889703729626	-0.313221371046096	0.996	1	1
RCVRN	0.000987644177192826	-0.141901242525308	0.048	0.195	1
TMED2	0.00100038296130044	0.367849369106872	0.675	0.512	1
PRAM1	0.00101194980402989	-0.464802679092678	0.316	0.561	1
CCND3	0.0010202832623735	-0.328067883239638	1	0.976	1
FAM214A	0.00102931879238892	0.492605719151926	0.64	0.488	1
YBX1	0.00104318165233913	-0.353791965085162	0.934	1	1
AMDHD2	0.00105566054546846	0.434123741188317	0.667	0.415	1
NKG7	0.00106985804140813	-0.507974388330988	0.241	0.463	1
GNAI2	0.0010768921790364	-0.303348105532828	0.974	1	1
AUTS2	0.00107693956910317	0.432333337962209	0.855	0.659	1
RNF44	0.00108180369197997	-0.3499958250306	0.781	0.878	1
PRMT7	0.00108600563910949	0.378930200392133	0.636	0.537	1
SLC49A4	0.00109043492578545	-0.235781614357903	0.184	0.439	1
PHC3	0.00109890315764517	0.41572866250338	0.895	0.78	1
DFFB	0.00111546190117614	-0.123033392862003	0.048	0.195	1
SERTAD2	0.0011308233095792	0.33867158100747	0.943	0.927	1
OAS1	0.00114462743368268	0.490610647680889	0.789	0.61	1
ZNF503	0.0011450739207096	-0.444401312936585	0.079	0.244	1
GLT1D1	0.00114950650253975	0.433645163769166	0.25	0.024	1
MRNIP	0.00117785543090168	0.429840840016015	0.636	0.366	1
NUB1	0.00119744656524177	0.401266124927649	0.737	0.634	1
TTYH2	0.00120116629878352	0.318058133332514	0.86	0.902	1
STX3	0.00120681428429697	-0.413998334014757	0.329	0.61	1
CDK5R1	0.00121232277026275	0.310681509479656	0.25	0.024	1
PRUNE2	0.00121317903315869	-0.276492052417745	0.079	0.244	1
SELPLG	0.00121726565113699	0.688576268027711	0.61	0.439	1
MYO15B	0.00122225943307909	0.366911713430222	0.987	1	1
ING1	0.00122597476394659	-0.28599341452429	0.294	0.585	1
YWHAZ	0.00122693514897738	-0.263573358321401	0.987	1	1
VEZF1	0.00122930503948055	0.435564348262757	0.636	0.463	1
CHP1	0.00122966834338735	-0.284152283648895	0.811	0.927	1
ZBED1	0.00123564567486632	0.32965416721958	0.68	0.61	1
ELMSAN1	0.00124080024165823	0.398532094800549	0.969	0.951	1
PLXDC2	0.0012434349456877	-0.323305411972696	0.518	0.756	1
EIF4A1	0.00125054944402575	-0.32796490363215	0.987	1	1
RAB2B	0.00125329078632471	0.373699488222316	0.5	0.268	1
KCNMB1	0.00125479838905821	-0.3744984650139	0.474	0.732	1
SULT1B1	0.00126413848487816	-0.191060754809918	0.075	0.244	1
FCGRT	0.00127944964177749	-0.268678541845496	0.996	0.976	1
COMMD9	0.00130076544696774	-0.47425899296201	0.623	0.878	1
CCR7	0.00130211062799677	-0.281190007163893	0.031	0.146	1
NFIL3	0.00130356967174816	-1.06024601498575	0.079	0.244	1
OSCAR	0.00130610370409882	-0.338302728778535	0.329	0.61	1
AJAP1	0.00131360196822364	0.315933422696763	0.211	0	1
COL8A2	0.00132237944950986	-0.376775282874426	0.439	0.683	1
HCK	0.00133157818829851	-0.483701409983891	0.851	0.878	1
RAB31	0.00134408204544175	-0.334759845433462	0.763	0.927	1
MAST3	0.00134900762715586	0.444731710375979	0.715	0.683	1
STMN2	0.00135636679053991	-0.549868793722039	0.031	0.146	1
AGPAT3	0.00136327572182224	-0.465673754240854	0.36	0.585	1
C12orf57	0.00136363616788438	0.655896397670618	0.956	0.902	1
DAGLB	0.00136567594256637	-0.342483091104489	0.382	0.659	1
RAB29	0.00142260389807921	-0.393966368845761	0.553	0.829	1
DGAT2	0.00142819755059834	-0.24742593468008	0.193	0.439	1
C18orf25	0.00142903087456932	0.44824748828941	0.842	0.732	1
COQ4	0.00142956483888426	0.364518806861486	0.601	0.39	1
NCAM1	0.0014397678586653	-0.452407349666492	0.158	0.366	1
ANKRD33B	0.00144533248742647	-0.162459740344621	0.061	0.22	1
SERINC5	0.00145367876747475	-0.246456696628872	0.167	0.39	1
TARBP1	0.0014626046280909	0.447550097343673	0.904	0.854	1
PCED1B	0.00146625673410428	0.473368485522519	0.671	0.512	1
BACH2	0.00147118686585989	-0.192463907274508	0.031	0.146	1
NUDT5	0.00148324976402863	0.442233239223676	0.763	0.585	1
LHFPL6	0.00149313266438156	-0.386575184214966	0.215	0.439	1
RS1	0.00150125877903691	-0.138367035361753	0.031	0.146	1
NCOA4	0.00151659462549371	-0.291942907113471	0.991	1	1
STT3A	0.00151882111216181	0.519124983631624	0.794	0.732	1
TBC1D31	0.00152970320397835	-0.239069729899842	0.118	0.317	1
CARD9	0.0015339053166258	-0.298262473064435	0.167	0.39	1
RRBP1	0.0015341192495596	0.568761937389955	0.732	0.512	1
ITPK1	0.00154645687211429	-0.413583185822251	0.807	0.976	1
HM13	0.00154701322067524	0.416863627503416	0.785	0.659	1
CDKN1A	0.00156337500927306	-0.649477082630995	0.803	0.854	1
BTG1	0.00157446863521132	0.408175532108712	0.982	0.976	1
USP3	0.00158342455418467	-0.321289651700163	0.724	0.878	1
SELENOF	0.00158612208537516	0.343711264469082	0.978	0.927	1
PICALM	0.00159822829556868	-0.294366441688331	0.982	1	1
CYB5R4	0.00161448972627902	-0.351585476820179	0.763	0.878	1
ZNF2	0.00162362352412947	-0.102315264351508	0.039	0.171	1
PROCR	0.00162729658006729	-0.17360978414196	0.031	0.146	1
KAT2A	0.00165116578638857	0.305850888825308	0.482	0.268	1
ZNF703	0.00165487736306452	-0.253678112462816	0.044	0.171	1
TRPM2	0.00166911900611281	0.469305868403859	0.535	0.293	1
FLNA	0.00167399435031219	-0.447622971462029	0.917	0.976	1
LLGL2	0.00167708551802041	0.482494625322897	0.522	0.317	1
EFCAB14	0.00169407331837921	0.286026601311155	0.877	0.732	1
CGAS	0.00171350194584928	0.464642809022845	0.627	0.415	1
RGS7	0.0017306982815292	0.264539330699703	0.202	0	1
SIVA1	0.00176617343401172	0.481552988635483	0.807	0.634	1
STK10	0.00177358315300391	-0.296840767347514	0.969	0.976	1
SPRY2	0.0017757774533578	-0.207691043326584	0.044	0.171	1
TXNIP	0.00178702612660447	-0.419585445984056	0.991	1	1
STAT5A	0.00179831587879087	0.375756178800477	0.956	0.854	1
RASSF4	0.00179852484600618	-0.136580649597439	0.031	0.146	1
CREB5	0.00180502777382345	-0.174510118960106	0.079	0.244	1
ARHGAP15	0.00181368924597686	0.343580568887925	0.991	1	1
SPINT2	0.001819429552661	0.377586105269889	0.917	0.854	1
SMPD3	0.00182269969983684	0.506900971700268	0.316	0.098	1
GRASP	0.00183051853819329	-0.534736957490473	0.452	0.659	1
CHPF	0.00183467652468207	0.381570137257879	0.276	0.049	1
SUCLG2	0.00183619093794976	-0.171935498161391	0.066	0.22	1
ZNF20	0.00183823037379405	-0.102208240767067	0.013	0.098	1
AGTPBP1	0.00185948098185239	-0.406403189609025	0.697	0.976	1
KPNA6	0.0018714569985927	0.401317584582847	0.675	0.512	1
DAPK2	0.00187578605824283	0.433920756682226	0.833	0.561	1
DDIT4	0.00189375210935144	0.524801292327689	0.825	0.707	1
MARCH9	0.00193762615855071	0.402344941846179	0.768	0.61	1
REPS2	0.00194751476645403	-0.328868844871366	0.281	0.561	1
PTGDR2	0.00194920489666223	-0.21252215288306	0.123	0.317	1
CD300LF	0.00195085324253921	-0.39224745203838	0.478	0.756	1
CGGBP1	0.00196228291577171	0.351124197178079	0.851	0.732	1
SLC2A11	0.00197277496133513	0.345310552982668	0.272	0.049	1
CEP131	0.00197932434528237	-0.468910367223408	0.412	0.634	1
AEBP1	0.00198425042762733	0.343705040595888	0.197	0	1
SLC9A7	0.00198453364155996	0.367278357354528	0.785	0.707	1
PARP14	0.00198661050227895	-0.340021659155426	0.452	0.756	1
NFIX	0.00199164264085882	-0.097319602003914	0.013	0.098	1
CHD4	0.00200579893182036	0.318114124121932	0.64	0.488	1
CD86	0.00200795529153823	-0.4092926344716	0.518	0.707	1
MAN1A1	0.00201227438105556	0.457912106824757	0.57	0.39	1
SRP19	0.00205611612412673	0.411334365109798	0.614	0.415	1
PGS1	0.00207817151750179	0.303558225343222	0.618	0.415	1
LILRA2	0.00210712945195109	-0.408150769303987	0.654	0.927	1
WDR41	0.00210988624868378	-0.318793305902979	0.719	0.927	1
HIPK2	0.00211537536214929	-0.440472304677808	0.425	0.659	1
AAK1	0.00213035708461732	-0.243004118455622	0.263	0.561	1
MAP7	0.00213964247264981	-0.107408178547026	0.022	0.122	1
MAPK8IP1	0.00213964247264981	-0.0982875602668624	0.022	0.122	1
DUS3L	0.00214652236316299	0.29768176649626	0.636	0.512	1
CDC40	0.00214866725837946	0.351338343242505	0.496	0.293	1
PTPN2	0.00216484833294926	0.351248743003039	0.575	0.366	1
RBMS3	0.00216651955432274	0.297002876562986	0.276	0.049	1
MKNK2	0.00217150840262026	-0.475417083653512	0.833	0.927	1
MRC2	0.00218779264461273	-0.118123844059166	0.022	0.122	1
DNAJC1	0.0021955304264272	0.447098984399523	0.601	0.415	1
EPB41L2	0.00219980249658014	-0.21229377619501	0.092	0.268	1
SNX2	0.00220059227244408	-0.35876436172721	0.588	0.829	1
PMP22	0.00221371975915732	0.440340932419541	0.386	0.171	1
ALG5	0.0022716357307777	0.34153877644701	0.491	0.244	1
HHAT	0.00228701791748351	0.389634546201445	0.364	0.122	1
H2AFY2	0.00230505250312133	-0.198152037246679	0.044	0.171	1
TRPS1	0.00230859549222932	-0.308460140182307	0.259	0.512	1
PXN	0.00232339440384753	-0.19811166362555	0.07	0.22	1
HACD4	0.00232481947780163	-0.319913687227533	0.303	0.585	1
TUT4	0.00234910964205366	0.383318304413321	0.899	0.78	1
CASP10	0.00235624961530132	0.33760429098063	0.355	0.122	1
MDN1	0.00239594311789534	0.378619375021781	0.618	0.439	1
EPHA2	0.00243051254543658	0.574174742594153	0.667	0.512	1
IGF2R	0.00243155451574137	0.420773190854758	0.544	0.39	1
HIGD2A	0.00243157824922828	-0.280575934519003	0.86	0.951	1
LMO2	0.00243910224223538	-0.508973286597865	0.623	0.805	1
RGCC	0.00244576353900589	-0.342022479996517	0.671	0.854	1
GTDC1	0.0024981588309486	-0.0816226380111337	0.022	0.122	1
GFI1	0.00251798986247453	0.298249334058968	0.259	0.049	1
CRYBG1	0.00254092659006188	-0.361719083502246	0.649	0.854	1
ZFYVE26	0.00255113022057963	0.372460145213668	0.658	0.415	1
GDAP1	0.00259847195632668	-0.0959660458128364	0.044	0.171	1
POU2F1	0.00262343729149832	-0.29250922108324	0.224	0.463	1
PAQR7	0.00265948200913296	-0.224239505810521	0.057	0.195	1
CD79A	0.00267536064577784	0.33110956524247	0.254	0.049	1
C16orf54	0.00268302207586123	-0.406046154948512	0.759	0.976	1
GLIPR1	0.00268502175044704	-0.318742620537243	0.934	1	1
FZD3	0.00268895344608651	0.38865804745513	0.61	0.39	1
CCNI	0.00271630938473387	-0.240299062869957	0.996	1	1
CCNYL1	0.00272086090681422	-0.348719608956265	0.469	0.683	1
NGLY1	0.00274461996980352	0.363941133359557	0.89	0.854	1
AFF1	0.00276778155771627	0.367266099112465	0.917	0.927	1
SCAMP2	0.00279409436045218	0.407839831655676	0.912	0.878	1
MANF	0.00280985449874788	0.534871641712509	0.596	0.488	1
PTMS	0.0028111201885014	0.299956866184081	0.785	0.61	1
RBM43	0.002828548370338	-0.126764633204139	0.044	0.171	1
GPM6B	0.00283750348287519	0.318128238062892	0.254	0.049	1
MMRN1	0.00285674410943149	0.33115980157748	0.566	0.366	1
DGKD	0.00287598035949813	0.376165154702814	0.732	0.488	1
NT5C3A	0.00290629143015792	-0.144573794979718	0.197	0.463	1
AKAP6	0.00291866226241788	-0.175315263557519	0.07	0.22	1
UHRF2	0.00292896421954883	0.366064281539244	0.711	0.561	1
TXLNA	0.00293010952312805	0.341641813532903	0.785	0.683	1
CTNND1	0.00293843455629055	-0.419277587476032	0.623	0.829	1
MICAL2	0.0029473360212231	-0.459684047794398	0.474	0.683	1
SLC43A1	0.00297698729513839	0.239479108488979	0.184	0	1
GPR162	0.0030214368180207	-0.304793725892013	0.167	0.366	1
MCOLN2	0.00302529353462014	0.372991648182046	0.886	0.805	1
TBC1D9	0.00302757267896768	-0.41368141878077	0.886	0.951	1
ALDH5A1	0.00305383252901409	0.332013534445546	0.386	0.146	1
TSR1	0.00305791176835737	0.324394550101215	0.478	0.244	1
PTCRA	0.00310314316409749	0.348900723717715	0.25	0.049	1
PLCXD2	0.00310812778219731	0.367517156223363	0.478	0.293	1
EPB41L3	0.0031127716913242	-0.223758189463987	0.162	0.366	1
KANSL3	0.00312420346346345	-0.334287321618846	0.382	0.634	1
CBX4	0.0031861757983643	0.440378105223397	0.969	0.902	1
HDAC4	0.00322876246699206	-0.335209663928513	0.202	0.415	1
DYRK2	0.00324541714914469	-0.339451721279117	0.368	0.634	1
USP9Y	0.00328375805354856	0.378072569791179	0.654	0.439	1
SERAC1	0.00329318855629377	-0.139051763683652	0.057	0.195	1
METTL7A	0.00330008585990393	-0.273072405793814	0.947	1	1
RCAN1	0.00333076080263455	0.414367483763913	0.601	0.439	1
CCDC69	0.00334172708793041	0.375600980500613	0.93	0.902	1
GNB2	0.0033464304076818	-0.254204774230947	0.943	1	1
MX2	0.00338760550172971	-0.259355865473249	0.272	0.512	1
SLTM	0.00339442288366263	0.346931850980685	0.868	0.78	1
CDK2AP2	0.00339594696858192	0.324900332113942	0.421	0.22	1
ATRAID	0.00339852114001299	0.308701597612725	0.711	0.585	1
MLXIP	0.00341068093283176	0.37041306479199	0.614	0.415	1
SIRPB1	0.00341571807344719	0.387557374106416	0.588	0.317	1
CDKN1B	0.00341880704495196	-0.454815435100303	0.877	0.927	1
GFOD1	0.00343393565268241	-0.114683215108282	0.035	0.146	1
FTH1	0.00344350406611987	-0.290818531498341	1	1	1
WDR66	0.00344998335209461	0.366796571259407	0.333	0.122	1
STAT2	0.00346017906582641	0.403477336539448	0.825	0.756	1
MDC1	0.00346916856002353	0.381657992596775	0.399	0.195	1
ABR	0.00348870234514817	-0.412684155307804	0.811	0.951	1
SEZ6L	0.00349698614414057	-0.153536492017745	0.035	0.146	1
ENTPD4	0.0035024660681816	0.27903045202755	0.838	0.756	1
CARMIL2	0.003510082149251	0.454286407085442	0.667	0.463	1
CD72	0.00352052929250057	-0.401841722367854	0.241	0.439	1
TRIT1	0.00353167591309514	0.292295539549342	0.715	0.61	1
RFLNB	0.00356258065507271	0.475461831730755	0.404	0.22	1
POLE	0.00359228918735706	0.379817215313514	0.465	0.268	1
PDLIM5	0.00360016591245187	-0.21221014369432	0.075	0.22	1
TRIM44	0.0036133217858187	0.334634747237086	0.947	0.927	1
PAFAH2	0.00361606400203566	0.424797762183639	0.465	0.244	1
DNASE2	0.00362686358204057	0.322004899127124	0.404	0.171	1
RASA1	0.00364806343238416	-0.261994758810635	0.39	0.683	1
DUSP23	0.00366410368029693	-0.206714681483652	0.254	0.537	1
SLC25A28	0.00367457808459164	0.2922320883914	0.811	0.707	1
AP4M1	0.0036910871216142	-0.274900347643539	0.158	0.341	1
ANKRD36	0.00372914355260268	0.235685947202922	0.215	0.024	1
PITPNM1	0.00372935117505968	-0.34862705476632	0.395	0.634	1
NDRG2	0.00373839328413418	-0.59273460044812	0.289	0.463	1
PPP1R15A	0.00377050633584293	0.34841211127455	0.996	1	1
LIMK1	0.00383939025253497	-0.324321751533254	0.281	0.537	1
CD164	0.00387064410429772	0.403401174819444	0.864	0.854	1
PPP1R14B	0.00388116772939226	0.375787135121527	0.632	0.512	1
IFIT2	0.00388755925545365	0.394829998875421	0.175	0	1
CD320	0.00388755925545365	0.263920503079731	0.175	0	1
WDR47	0.00389801162855941	-0.31965518130353	0.408	0.659	1
SNX20	0.00390871778533994	-0.274862715107829	0.807	0.951	1
MT-ND6	0.0039222077561826	0.474581511091994	0.934	0.854	1
RHPN1	0.0039248740912844	0.357068355712432	0.346	0.122	1
PNRC1	0.00393074478946584	0.287289989825585	1	1	1
IFNGR1	0.00395819130401125	-0.334323756924427	0.522	0.756	1
SP140	0.0039721950994834	-0.238764251956837	0.127	0.317	1
P4HB	0.00398628509303264	0.358309481383281	0.746	0.561	1
SKI	0.00406361240715611	0.361972970066281	0.539	0.317	1
CIB2	0.0040774852756392	0.376699324280904	0.43	0.22	1
BICD2	0.00408061668843471	-0.349196575779526	0.741	0.927	1
FYCO1	0.004086284221108	0.330471590976708	0.404	0.195	1
SLA2	0.00410168917613004	0.440978134610286	0.289	0.098	1
CNOT7	0.00412235308422702	-0.229209152473354	0.18	0.39	1
PPIB	0.00412286773764395	0.337338967983203	0.947	0.951	1
CA5B	0.00413411868413758	-0.197050866359027	0.158	0.366	1
TMEM19	0.00413772521015196	0.39870631221454	0.684	0.512	1
ZNF589	0.00414121886917686	0.4219361485549	0.895	0.732	1
POP5	0.0041535512724312	0.360273448732682	0.491	0.317	1
SLC2A9	0.00418973252019051	0.345411722405469	0.553	0.366	1
BAHCC1	0.00424255352510641	0.340798066976647	0.627	0.463	1
CCDC6	0.00429403193211611	-0.307030332241758	0.671	0.829	1
DVL3	0.0043211453275404	0.377065564422205	0.627	0.561	1
MSI2	0.00432767964019581	0.243494912131024	0.662	0.512	1
TANC1	0.00434722068793447	-0.323328195774881	0.158	0.366	1
NRBF2	0.00436512726505872	-0.341260976707104	0.439	0.683	1
MAP3K1	0.00436517571451253	-0.463621506547357	0.649	0.878	1
MDM4	0.00438870724011485	0.298124566632181	0.987	1	1
TRIM21	0.0044047206633604	-0.229299951893675	0.224	0.463	1
CARD16	0.00440741533863585	-0.165936376396287	0.075	0.22	1
ABCA2	0.00444334447341513	0.442945420537884	0.833	0.707	1
MIDN	0.00444763839350211	-0.43050628594097	0.724	0.854	1
TOR1AIP1	0.00446606555438837	0.349830775845788	0.825	0.732	1
CHML	0.00447133363606619	0.409598442088188	0.539	0.39	1
PXYLP1	0.00447671854427922	-0.200733695490937	0.061	0.195	1
PSD4	0.00451066220039181	0.374911019711045	0.89	0.854	1
ZCCHC24	0.00451353224436714	0.376992860696411	0.461	0.268	1
ZNF672	0.00451430943188984	-0.314708521821643	0.539	0.829	1
HIPK3	0.00451743472497341	-0.317474683253601	0.794	0.829	1
POMGNT1	0.0045354862069571	0.387774959425996	0.535	0.341	1
MED30	0.00454537558588373	0.296345224402423	0.557	0.439	1
PPCS	0.00455150434181604	0.383298795655672	0.583	0.463	1
TUBA1B	0.00457040467090493	-0.266878000262908	0.263	0.512	1
PSAP	0.00457258777750222	-0.267756726252308	1	0.976	1
ABAT	0.0045761806982023	-0.201870512473154	0.092	0.244	1
DNMT3A	0.00460101203179161	0.32786703196017	0.618	0.366	1
IL7R	0.00461103341795916	-0.396276685771477	0.079	0.22	1
TUBB6	0.00463784733361324	0.363993825383082	0.746	0.512	1
RGS10	0.00466584569584243	-0.357592337716486	0.82	0.902	1
CLEC4E	0.00467389908381224	-0.158353899324104	0.009	0.073	1
TIGAR	0.00472400795595672	-0.255192903568361	0.303	0.537	1
ABCC1	0.00472513961544077	-0.32722991432247	0.803	0.927	1
PBX2	0.00472584982535356	0.296985688184157	0.93	0.976	1
NIPBL	0.00476841501473616	0.276682311243067	0.798	0.683	1
AMFR	0.00477948846739831	-0.298378740580999	0.504	0.732	1
CYTH4	0.00477960768927086	0.243395163340766	0.996	1	1
BLOC1S5	0.00480160729451708	-0.278558484518812	0.32	0.585	1
RFX2	0.00481180957695535	-0.145631906930267	0.009	0.073	1
OXER1	0.00482658647960209	-0.122415581026284	0.026	0.122	1
NAB2	0.00482658647960209	-0.177329676552684	0.026	0.122	1
HAAO	0.00482746497927852	-0.0843944460890056	0.035	0.146	1
GALNS	0.00482792204695325	-0.324774345498004	0.566	0.78	1
TATDN2	0.00484614985169886	0.310103662921263	0.728	0.585	1
RETREG2	0.00486987797353164	-0.32698966205641	0.408	0.61	1
TSPYL2	0.00489508848353821	0.51083666886837	0.456	0.244	1
PRR5L	0.00489741604003004	0.314112642029451	0.289	0.098	1
BDKRB2	0.00492298585608505	-0.132702302073683	0.026	0.122	1
P2RY10	0.00492298585608505	-0.103845390120533	0.026	0.122	1
XRCC5	0.00492362669267521	0.273233648388406	0.596	0.537	1
SNX30	0.00492519717667417	-0.501786935203054	0.522	0.707	1
PDE4D	0.00492575195074135	-0.211104533315764	0.092	0.244	1
DTX4	0.00494060871887175	0.543949524750744	0.461	0.268	1
GBP4	0.0049533919734767	-0.0701089810543658	0.009	0.073	1
GPER1	0.0049533919734767	-0.0693791689883878	0.009	0.073	1
NUS1	0.00498177183062013	0.3368457641064	0.833	0.683	1
CD36	0.00499864231256059	0.388358991937998	0.829	0.756	1
SLC37A2	0.00500841554340666	-0.137183362483248	0.048	0.171	1
CYP4V2	0.00501874347273849	0.412719897747303	0.487	0.341	1
SLFN12	0.00501994479586909	-0.164490566264571	0.061	0.195	1
PLPPR2	0.00502112337635575	-0.117576980609539	0.026	0.122	1
ARHGAP25	0.00503536776850182	0.372760374671944	0.868	0.805	1
LACTB	0.00504574381186185	-0.339769372351811	0.197	0.39	1
BTG3	0.00504886998772768	0.284126416933974	0.237	0.049	1
ULK2	0.0050511258140991	-0.308828307877431	0.237	0.439	1
CARMIL1	0.00506282812605324	0.211402524939359	0.167	0	1
PSRC1	0.00509873141316374	-0.0650932536018264	0.009	0.073	1
CCDC141	0.00509873141316374	-0.0743617644818478	0.009	0.073	1
FAM83D	0.00515462883017298	-0.11921890266043	0.018	0.098	1
TBL2	0.00518847836388737	0.333415295724102	0.465	0.268	1
INVS	0.0052272648858448	0.318852928401575	0.465	0.268	1
DGKZ	0.00522898808525381	0.309407549812711	0.934	0.902	1
CTSO	0.00523598383526312	0.328299227614241	0.544	0.317	1
CMIP	0.00524426505750474	-0.256052041600648	0.855	0.976	1
TFCP2L1	0.00524791463373037	-0.0795907927026222	0.009	0.073	1
INPP4B	0.00524791463373037	-0.191503971973369	0.009	0.073	1
PNLDC1	0.00524791463373037	-0.10426639252355	0.009	0.073	1
ZC2HC1A	0.00524791463373037	-0.0761011406005118	0.009	0.073	1
NT5M	0.00524791463373037	-0.0591815729951338	0.009	0.073	1
GZMM	0.00524791463373037	-0.0771552574753603	0.009	0.073	1
TRIM25	0.00525894196479613	-0.345315460675645	0.728	0.854	1
PCID2	0.00529628286804345	-0.429611644194968	0.482	0.707	1
NBR1	0.0053422552155263	0.34429057524053	0.776	0.659	1
SAT1	0.00535489444508848	-0.455530898516773	0.925	0.976	1
ADORA2B	0.00536399080337865	-0.193399627737076	0.092	0.244	1
FKBP15	0.00536506887444713	-0.353009489967957	0.807	0.927	1
CD33	0.00538111692786449	-0.298289495897887	0.386	0.659	1
SFN	0.00540102999024688	-0.0536406655503483	0.009	0.073	1
FAXDC2	0.00540102999024688	-0.0757316870518209	0.009	0.073	1
CCDC180	0.00540102999024688	-0.0651224638081152	0.009	0.073	1
CCNY	0.00540477605015231	-0.370887160509334	0.697	0.902	1
SDK2	0.00542566889347459	0.391292457806238	0.342	0.146	1
SEMA4D	0.00544790207096515	0.159483328553274	0.627	0.415	1
RWDD3	0.00545108585228396	-0.143691950376509	0.197	0.439	1
PHLDA3	0.00545251890305645	-0.141777577428437	0.088	0.244	1
SEC61A1	0.0054861922222459	0.408825408677349	0.789	0.707	1
PGD	0.0055338795554949	0.407568544485155	0.877	0.756	1
TRIM46	0.00555816747451431	-0.0489345932005793	0.009	0.073	1
HCN3	0.00555816747451431	-0.0457556444405131	0.009	0.073	1
LOXL3	0.00555816747451431	-0.0598659356098953	0.009	0.073	1
PDE2A	0.00555816747451431	-0.0634291828061033	0.009	0.073	1
WASF3	0.00555816747451431	-0.0599492958885835	0.009	0.073	1
C16orf95	0.00555816747451431	-0.0367286361487892	0.009	0.073	1
PFKFB1	0.00555816747451431	-0.0482865399369043	0.009	0.073	1
STARD8	0.00555816747451431	-0.0344344521118013	0.009	0.073	1
